EPOCH_TIME                ALARM_STATUS              INST_STATUS               Delta_High_Conc_Raw_iCH4  C13_Delta_Raw             CH4                       ValveMask                 GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1321423497.422            0                         963                       -1.9399257466E+001        -3.2795879082E+001        2.7945186548E+000         5.0000000000E+000         3.7377845399E+001         -1.2198380621E+002        1.0000000000E+000         
1321423498.379            0                         963                       -1.3354806268E+001        -3.7634511381E+001        2.6630974111E+000         5.0000000000E+000         3.7377842604E+001         -1.2198405676E+002        1.0000000000E+000         
1321423499.342            0                         963                       -8.3796816197E+000        -3.6933815862E+001        2.5602194457E+000         5.0000000000E+000         3.7377840968E+001         -1.2198429626E+002        1.0000000000E+000         
1321423500.277            0                         963                       -8.7632084785E+000        -3.6424440492E+001        2.4788800780E+000         5.0000000000E+000         3.7377839389E+001         -1.2198453295E+002        1.0000000000E+000         
1321423501.225            0                         963                       -1.9782091636E+001        -4.0707562888E+001        2.4173265287E+000         5.0000000000E+000         3.7377836646E+001         -1.2198477447E+002        1.0000000000E+000         
1321423501.845            0                         963                       -1.0079755946E+001        -3.0664631131E+001        2.3677108507E+000         5.0000000000E+000         3.7377832554E+001         -1.2198501334E+002        1.0000000000E+000         
1321423502.463            0                         963                       -1.0079755946E+001        -3.0664631131E+001        2.3677108507E+000         5.0000000000E+000         3.7377828656E+001         -1.2198524741E+002        1.0000000000E+000         
1321423503.404            0                         963                       -2.1357755431E+001        -4.1528075149E+001        2.3197241631E+000         5.0000000000E+000         3.7377826788E+001         -1.2198548334E+002        1.0000000000E+000         
1321423504.339            0                         963                       -1.3950395734E+001        -3.9361528754E+001        2.2914881042E+000         5.0000000000E+000         3.7377825911E+001         -1.2198572540E+002        1.0000000000E+000         
1321423505.282            0                         963                       -1.2420277829E+001        -3.4989459044E+001        2.2730856043E+000         5.0000000000E+000         3.7377824439E+001         -1.2198596050E+002        1.0000000000E+000         
1321423507.279            0                         963                       -1.2796298575E+001        -3.5338924476E+001        2.2543972117E+000         5.0000000000E+000         3.7377823849E+001         -1.2198618641E+002        1.0000000000E+000         
1321423507.820            0                         963                       -2.4086077523E+001        -4.2733219679E+001        2.2303559582E+000         5.0000000000E+000         3.7377823096E+001         -1.2198640473E+002        1.0000000000E+000         
1321423508.441            0                         963                       -2.4086077523E+001        -4.2733219679E+001        2.2303559582E+000         5.0000000000E+000         3.7377822373E+001         -1.2198662895E+002        1.0000000000E+000         
1321423509.385            0                         963                       -1.9529253331E+001        -3.6705351105E+001        2.2198260068E+000         5.0000000000E+000         3.7377821667E+001         -1.2198684676E+002        1.0000000000E+000         
1321423510.336            0                         963                       -8.1119594076E+000        -3.7002631057E+001        2.2149174691E+000         5.0000000000E+000         3.7377820598E+001         -1.2198706877E+002        1.0000000000E+000         
1321423511.288            0                         963                       -1.1636259302E+001        -4.0652564673E+001        2.2107291204E+000         5.0000000000E+000         3.7377819001E+001         -1.2198728677E+002        1.0000000000E+000         
1321423513.809            0                         963                       -1.9314959864E+001        -4.2492861726E+001        2.2072589468E+000         5.0000000000E+000         3.7377817078E+001         -1.2198751145E+002        1.0000000000E+000         
1321423514.414            0                         963                       -1.9314959864E+001        -4.2492861726E+001        2.2072589468E+000         5.0000000000E+000         3.7377815409E+001         -1.2198772729E+002        1.0000000000E+000         
1321423515.353            0                         963                       -1.5786745769E+001        -4.3889297159E+001        2.2002871729E+000         5.0000000000E+000         3.7377813072E+001         -1.2198793619E+002        1.0000000000E+000         
1321423516.292            0                         963                       -3.2301560376E+000        -3.2552111043E+001        2.1990116603E+000         5.0000000000E+000         3.7377810139E+001         -1.2198815616E+002        1.0000000000E+000         
1321423518.170            0                         963                       -1.7448287372E+001        -4.4828261570E+001        2.1979461909E+000         5.0000000000E+000         3.7377808031E+001         -1.2198838866E+002        1.0000000000E+000         
1321423519.217            0                         963                       -1.0425144590E+001        -3.9982581194E+001        2.1970216012E+000         5.0000000000E+000         3.7377807176E+001         -1.2198861815E+002        1.0000000000E+000         
