EPOCH_TIME                ALARM_STATUS              GPS_ABS_LONG              GPS_ABS_LAT               CH4                       
1316253143.535            0                         -1.2244203481e+02         3.7783037688e+01          1.8638242278e+00          
1316253144.650            0                         -1.2244211884e+02         3.7783024315e+01          1.8592654370e+00          
1316253145.740            0                         -1.2244219562e+02         3.7783011414e+01          1.8525678559e+00          
1316253146.849            0                         -1.2244226836e+02         3.7783001336e+01          1.8488514834e+00          
1316253147.962            0                         -1.2244233816e+02         3.7782992644e+01          1.8463776303e+00          
1316253149.086            0                         -1.2244240612e+02         3.7782984659e+01          1.8445575346e+00          
1316253150.289            0                         -1.2244247133e+02         3.7782977253e+01          1.8432755321e+00          
1316253151.465            0                         -1.2244252493e+02         3.7782971702e+01          1.8409675699e+00          
1316253152.604            0                         -1.2244256773e+02         3.7782967241e+01          1.8410348362e+00          
1316253153.713            0                         -1.2244260139e+02         3.7782964017e+01          1.8387443137e+00          
1316253154.844            0                         -1.2244262833e+02         3.7782960796e+01          1.8412848738e+00          
1316253156.011            0                         -1.2244264764e+02         3.7782958465e+01          1.8441213243e+00          
1316253157.218            0                         -1.2244265755e+02         3.7782957406e+01          1.8483742670e+00          
1316253158.403            0                         -1.2244266223e+02         3.7782957210e+01          1.8500606382e+00          
1316253159.579            0                         -1.2244266522e+02         3.7782957149e+01          1.8522493433e+00          
1316253160.733            0                         -1.2244267802e+02         3.7782955770e+01          1.8526457416e+00          
1316253161.901            0                         -1.2244271257e+02         3.7782951370e+01          1.8529093375e+00          
1316253163.058            0                         -1.2244276327e+02         3.7782945466e+01          1.8530222737e+00          
1316253164.264            0                         -1.2244282776e+02         3.7782937186e+01          1.8495582206e+00          
1316253165.408            0                         -1.2244289825e+02         3.7782927589e+01          1.8477865583e+00          
1316253166.547            0                         -1.2244297661e+02         3.7782917381e+01          1.8550003336e+00          
1316253167.636            0                         -1.2244305986e+02         3.7782907259e+01          1.8643278394e+00          
1316253168.757            0                         -1.2244315164e+02         3.7782896150e+01          1.8688710394e+00          
1316253169.904            0                         -1.2244324784e+02         3.7782885185e+01          1.8740050666e+00          
1316253171.021            0                         -1.2244334282e+02         3.7782872669e+01          1.8736290299e+00          
1316253172.170            0                         -1.2244343858e+02         3.7782858555e+01          1.8768659305e+00          
1316253173.320            0                         -1.2244353540e+02         3.7782846463e+01          1.8841817884e+00          
1316253174.427            0                         -1.2244362904e+02         3.7782834691e+01          1.8886347361e+00          
1316253175.555            0                         -1.2244372384e+02         3.7782827000e+01          1.8900579933e+00          
1316253176.682            0                         -1.2244381650e+02         3.7782834599e+01          1.8914285346e+00          
1316253177.901            0                         -1.2244391417e+02         3.7782846863e+01          1.8900573597e+00          
1316253179.062            0                         -1.2244400575e+02         3.7782850211e+01          1.8832555515e+00          
